date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:49	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:49%20GMT	http://burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.eot?	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegulard41d.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:49	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:49%20GMT	http://burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.woff	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular-2.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:50	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:49%20GMT	http://burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.ttf	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular-3.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:50	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:50%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.eot	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:50	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:50%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.eot?	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBoldd41d.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:50	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:50%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.woff	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold-2.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:51	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:50%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.ttf	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold-3.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:52	123802/123802	---M--	200	added ('OK')	image/jpeg	etag:%2258189644-1e39a%22	http://burton.html.redbrush.eu/img/back/background.jpg	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/background.jpg	(from http://burton.html.redbrush.eu/css/style.css)
20:33:52	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:52%20GMT	http://burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.eot?	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegulard41d.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:52	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:52%20GMT	http://burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.woff	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular-2.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:52	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:52%20GMT	http://burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.ttf	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular-3.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:52	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:52%20GMT	http://burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.eot	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaRegular/FuturaRegular.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:53	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:52%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.eot	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:53	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:52%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.eot?	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBoldd41d.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:53	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:52%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.woff	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold-2.html	(from http://burton.html.redbrush.eu/css/fonts.css)
20:33:53	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:33:52%20GMT	http://burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold.ttf	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/fonts/FuturaBold/FuturaBold-3.html	(from http://burton.html.redbrush.eu/css/fonts.css)
